Rank,Name,Platform,Year,Genre,Publisher
259,Asteroids,2600,1980,Shooter,Atari
545,Missile Command,2600,1980,Shooter,Atari
1768,Kaboom!,2600,1980,Misc,Activision
1971,Defender,2600,1980,Misc,Atari
2671,Boxing,2600,1980,Fighting,Activision
4027,Ice Hockey,2600,1980,Sports,Activision
5368,Freeway,2600,1980,Action,Activision
6319,Bridge,2600,1980,Misc,Activision
6898,Checkers,2600,1980,Misc,Atari
240,Pitfall!,2600,1981,Platform,Activision
736,Frogger,2600,1981,Action,Parker Bros.
768,Demon Attack,2600,1981,Shooter,Imagic
866,E.T.: The Extra Terrestrial,2600,1981,Action,Atari
1108,Ms. Pac-Man,2600,1981,Puzzle,Atari
1155,River Raid,2600,1981,Shooter,Activision
1308,Donkey Kong,2600,1981,Platform,Coleco
1431,Centipede,2600,1981,Shooter,Atari
1558,Atlantis,2600,1981,Shooter,Imagic
1850,Megamania,2600,1981,Shooter,Activision
1967,Cosmic Ark,2600,1981,Shooter,Imagic
2145,Donkey Kong Junior,2600,1981,Platform,Atari
2234,Spider-Man,2600,1981,Action,Parker Bros.
2518,Custer's Revenge,2600,1981,Action,Mystique
2598,Alien,2600,1981,Action,20th Century Fox Video Games
2666,Air Raid,2600,1981,Action,Men-A-Vision
2808,Berzerk,2600,1981,Shooter,Atari
2942,King Kong,2600,1981,Action,Tigervision
3046,Adventures of Tron,2600,1981,Action,Mattel Interactive
3405,BurgerTime,2600,1981,Puzzle,Mattel Interactive
